,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,
Periode 01-30 April 2026,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,kategori, Penerimaan , Pengeluaran ,Saldo,,,,,
01- April,1,Saldo Awal,saldo awal,"370,000",,,,,,,
01- April,1,Bi untuk pembelian rumah tangga tgl 01/04/2026- 1pcs idm ktg plstk @ 300,Rumah Tangga,,300,"369,700",,,kategori,SUM of  Pengeluaran ,SUM of  Penerimaan 
01- April,1,Bi untuk pembelian rumah tangga tgl 01/04/2026- 1pcs sos p/lt apll @ 10.700,Rumah Tangga,,"10,700","359,000",,,ATK,"745,709.00",0
01- April,1,Bi untuk pembelian rumah tangga tgl 01/04/2026- 1pcs mama lime pouch @ 10.600,Rumah Tangga,,"10,600","348,400",,,Cicilan Motor,"2,394,000.00",0
01- April,1,diskon pembelian,diskon,4200,,"352,600",,,dana masuk,0.00,31561000
01- April,1,Bi pembelian material tgl 01/04/2026- 1pcs modem f663nv9+ adaptor@ 125.000,Material,,"125,000","227,600",,,diskon,"-3,600.00",55499
01- April,1,Bi untuk konsumsi kantor tgl 01/04/2026,konsumsi kantor,,"100,000","127,600",,,etol,"150,000.00",0
02-April,2,Dana Masuk Operasional,dana masuk,2035000,,"2,162,600",,,fee,"1,250,000.00",0
02-April,2,Bi pembelian material tgl 02/04/2026- 3pcs xpon Tj F663NV9 @ 120.000,Material,,"360,000","1,802,600",,,gaji,"250,000.00",0
02-April,2,Bi pembelian material tgl 02/04/2026- 3pcs adaptor 12v/1A @ 15.000,Material,,"45,000","1,757,600",,,konsumsi,"886,900.00",0
02-April,2,Bi pembelian ATK tgl 02/04/2026- 22pcs id card squeezy @ 1.300,ATK,,"21,450","1,736,150",,,konsumsi jenguk,"220,000.00",0
02-April,2,Bi pembelian ATK tgl 02/04/2026- 22pcs tali kait jepit  @ 1.000,ATK,,"19,800","1,716,350",,,konsumsi kantor,"2,166,000.00",0
02-April,2,diskon pembelian,diskon,9350,,"1,725,700",,,lain-lain,"2,770,000.00",0
02-April,2,Bi pembelian ATK tgl 02/04/2026- 22pcs id card  @ 7.500,ATK,,"165,000","1,560,700",,,Listrik Kantor,"1,285,000.00",0
02-April,2,Bi BBM N 3457 ABF km 510402 tgl 02/04/2026 ltr 1.0 lawang,transportasi,,"10,000","1,550,700",,,Listrik Server,"411,500.00",0
02-April,2,"Bi BBM N 2110 EFD km 587682 tgl 02/04/2026 ltr 1.5 maintance sentul,lawang",transportasi,,"15,000","1,535,700",,,Listrik server lawang,"200,000.00",0
02-April,2,Bi parkir P 2616 UC Bank Mandiri Singosari tgl 02/04/2026,transportasi,,"2,000","1,533,700",,,Listrik Server Sentul,"100,000.00",0
02-April,2,Bi untuk pembayaran pulsa no.Cs 085804041950 tgl 02/04/2026,pulsa,,"37,900","1,495,800",,,Material,"3,690,400.00",0
02-April,2,Bi untuk perawatan  kendaraan service N 2110 EFD tgl 02/04/2026,perawatan kendaraan ,,"100,000","1,395,800",,,perawatan aset kantor,"407,000.00",0
02-April,2,Bi untuk pembayaran fee CS. feby tgl 03/03/2026,gaji,,"250,000","1,145,800",,,perawatan kendaraan ,"1,436,000.00",0
04-April,3,Dana Masuk Operasional,dana masuk,1000000,,"2,145,800",,,pulsa,"137,900.00",0
04-April,3,Bi untuk konsumsi kantor tgl 03/04/2026,konsumsi kantor,,"91,000","2,054,800",,,Rumah Tangga,"621,500.00",0
