 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,,,,,,RINCIAN KAS BON,,,
,,,, Penerimaan , Pengeluaran ,,,,,,Tanggal,No.Bukti,,,,
,,Saldo Awal,,,,0,,,,,,,,,,
,,Dana Masuk Operasional,dana masuk,1500000,,"1,500,000",,,,,,,,,,
02 Jan,1,Bi BBM N 2110 EFD km 386794 tgl 02/01/2026 ltr 3.1 maintance rest area,Transportasi,,"31,680","1,468,320",,,,,5 Jan,,cod pak budi,,,"112,000"
,,Bi BBM N 2114 EFD km 534302  tgl 02/01/2026 ltr 3.0 maintance karangploso,Transportasi,,"30,000","1,438,320",,,,,6 Jan,,cod pak budi,,,"50,000"
,,Bi BBM N 2109 EFD km 421870  tgl 02/01/2026 ltr 1.5 maintance arjosari,Transportasi,,"15,000","1,423,320",,,,,7 Jan,,rokok PAK BUDI,,,"24,000"
,,Bi BBM DK 6912 AAW km 455023 tgl 02/01/2026 ltr 2.0 maintance karangploso  ,Transportasi,,"20,000","1,403,320",,,,,,,cod pak budi,,,"218,500"
,,Bi parkir N 2110 Bank Mandiri Singosari tgl 02/01/2026,Transportasi,,"2,000","1,401,320",,,,,8 Jan,,novel ongkir ,,,"60,000"
,,Bi untuk perawatan  kendaraan service ban sepeda beat teknisi unsur tgl 02/01/2026,Perawatan Kendaraan,,"55,000","1,346,320",,,,,,,bapak budi,,,"100,000"
,,Bi untuk pembelian Konsumsi Kantor tgl 02/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","1,216,320",,,,,,,rokok PAK BUDI,,,"24,000"
,2,Bi pembelian konsumsi untuk maintance arjosari tgl 02/01/2026 ,Konsumsi,,"16,800","1,199,520",,,,,9 Jan,,rokok PAK BUDI,,,"100,000"
,,diskon pembelian,diskon,2300,,"1,201,820",,,,,,,cod pak budi,,,"24,000"
,,Bi untuk pembelian rumah tangga tgl 02/01/2026 - 1pcs alfa tisss B2G1@ 24.000 ,Rumah Tangga,,"24,000","1,177,820",,,,,,,ONGKIR PAKET KRIAN,,,"18,000"
,,Bi untuk pembelian rumah tangga tgl 02/01/2026 - 2pcs pikopi aren @ 13.200,Rumah Tangga,,"26,000","1,151,820",,,,,,,cod pak budi,,,"90,000"
,,Bi untuk pembelian rumah tangga tgl 02/01/2026 - 1pcs luwak KP @ 9.500,Rumah Tangga,,"9,500","1,142,320",,,,,12 Jan,,cod pak budi,,,"83,000"
,,Bi untuk pembelian rumah tangga tgl 02/01/2026 - 1pcs luwak mrn @ 10.200,Rumah Tangga,,"10,200","1,132,120",,,,,14 Jan,,cod novel ,,,"33,500"
,,Bi untuk pembelian rumah tangga tgl 02/01/2026 - 1pcs kp branding @ 500,Rumah Tangga,,500,"1,131,620",,,,,,,ibu april,,,"50,000"
,,diskon pembelian,diskon,11600,,"1,143,220",,,,,1/15,,rokok PAK BUDI,,,"25,000"
,,Bi pembelian material tgl 02/01/2026- 1pcs tang potong camel@ 55.000 ,Material,,"55,000","1,088,220",,,,,,,pak budi pijat,,,"50,000"
