,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Februari 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,Saldo Awal,,"34,117",,"34,117"
02 Feb,1,Dana Masuk Operasional,dana masuk,922000,,"956,117"
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 02/02/2026              ,Listrik Kantor,,"203,000","753,117"
,,Bi untuk pembelian Konsumsi Kantor tgl 02/02/2026 - 20 karyawan kantor             ,Konsumsi Kantor,,"112,000","641,117"
,,Bi untuk konsumsi tamu tgl 02/02/2026,konsumsi,,"20,000","621,117"
,,Bi pembelian material tgl 02/02/2026- 3pcs p.klem no.7@ 3.000,Material,,"9,000","612,117"
,,Bi pembelian material tgl 02/02/2026- 3pcs solasi national@ 7.000,Material,,"21,000","591,117"
,,Bi pembelian material tgl 02/02/2026- 1pack kabel tic@ 20.000,Material,,"20,000","571,117"
,,Bi pembelian material tgl 02/02/2026- 10packp.klem no.6 @ 5.000,Material,,"50,000","521,117"
,,Bi pembelian material tgl 02/02/2026- 10packisolasi@ 6.000,Material,,"60,000","461,117"
,,Bi untuk pembelian rumah tangga tgl 02/02/2026 - 1rtg top  @ 17.500,Rumah Tangga,,"17,500","443,617"
,,Bi untuk pembelian rumah tangga tgl 02/02/2026 - 1rtg top arda @ 17.500,Rumah Tangga,,"17,500","426,117"
,,Bi untuk pembelian rumah tangga tgl 02/02/2026 - 1rtg gulaku  @ 18.000,Rumah Tangga,,"18,000","408,117"
,,Bi untuk pembelian rumah tangga tgl 02/02/2026 - 3rtg kopi gajah k @ 9.000,Rumah Tangga,,"27,000","381,117"
,2,Bi BBM N 2110 EFD km 399433 tgl 01/02/2026 ltr 1.0 maintance rest area,Transportasi,,"10,000","371,117"
