 ,,,,,,,,
,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,
,,,, Penerimaan , Pengeluaran ,,,
,,Saldo Awal,,,,0,,
,,Dana Masuk Operasional,dana masuk,1500000,,"1,500,000",,
02 Jan,1,Bi BBM N 2110 EFD km 386794 tgl 02/01/2026 ltr 3.1 maintance rest area,Transportasi,,"31,680","1,468,320",,
,,Bi BBM N 2114 EFD km 534302  tgl 02/01/2026 ltr 3.0 maintance karangploso,Transportasi,,"30,000","1,438,320",,
,,Bi BBM N 2109 EFD km 421870  tgl 02/01/2026 ltr 1.5 maintance arjosari,Transportasi,,"15,000","1,423,320",,
,,Bi BBM DK 6912 AAW km 455023 tgl 02/01/2026 ltr 2.0 maintance karangploso  ,Transportasi,,"20,000","1,403,320",,
,,Bi parkir N 2110 Bank Mandiri Singosari tgl 02/01/2026,Transportasi,,"2,000","1,401,320",,
,,Bi untuk perawatan  kendaraan service ban sepeda beat teknisi unsur tgl 02/01/2026,Perawatan Kendaraan,,"55,000","1,346,320",,
,,Bi untuk pembelian Konsumsi Kantor tgl 02/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","1,216,320",,
,2,Bi pembelian konsumsi untuk maintance arjosari tgl 02/01/2026 ,Konsumsi,,"16,800","1,199,520",,
,,diskon pembelian,diskon,,"-2,300","1,201,820",,
,,Bi untuk pembelian rumah tangga tgl 02/01/2026 - 1pcs alfa tisss B2G1@ 24.000 ,Rumah Tangga,,"24,000","1,177,820",,
,,Bi untuk pembelian rumah tangga tgl 02/01/2026 - 2pcs pikopi aren @ 13.200,Rumah Tangga,,"26,000","1,151,820",,
,,Bi untuk pembelian rumah tangga tgl 02/01/2026 - 1pcs luwak KP @ 9.500,Rumah Tangga,,"9,500","1,142,320",,
,,Bi untuk pembelian rumah tangga tgl 02/01/2026 - 1pcs luwak mrn @ 10.200,Rumah Tangga,,"10,200","1,132,120",,
,,Bi untuk pembelian rumah tangga tgl 02/01/2026 - 1pcs kp branding @ 500,Rumah Tangga,,500,"1,131,620",,
,,diskon pembelian,diskon,,"-11,600","1,143,220",,
,,Bi pembelian material tgl 02/01/2026- 1pcs tang potong camel@ 55.000 ,Material,,"55,000","1,088,220",,
,,Bi pembelian material tgl 02/01/2026- 1pcs converter 6F2E @ 170.000 stock,Material,,"170,000","918,220",,
,,Bi pembelian material tgl 02/01/2026- 1pcs Usb to Lan Rj45 @ 50.000 ,Material,,"50,000","868,220",,
,,Bi pembelian material tgl 02/01/2026- 3pcs isolasi @ 6.000 IKR Lawang,IKR Lawang,,"18,000","850,220",,
,,Bi pembelian material tgl 02/01/2026- 4pcs talitis@ 5.000  IKR Lawang,IKR Lawang,,"20,000","830,220",,
3-Jan-26,3,Bi untuk pembelian rumah tangga tgl 03/01/2026 - 1pcs mika kue @ 9.500,Rumah Tangga,,9500,"820,720",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 03/01/2026,Listrik Kantor,,"203,500","617,220",,
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 03/01/2026,Listrik Server,,"203,500","413,720",,
,,Bi untuk pembayaran  jaga rumah (pak fais dan pak kluntung)  tgl  03/01/2026,jasa,,"100,000","313,720",,
,,Bi pembelian material tgl 03/01/2026- 1pcs ABC Bat.Biru 4's@ 19.400 ,Material,,"19,400","294,320",,
,,Bi pembelian material tgl 03/01/2026- 1pcs Tang potong tekiro@ 55.000 IKR Lawang,IKR Lawang,,"55,000","239,320",,
,,Bi BBM N 2418 YBI km 594211 tgl 03/01/2026 ltr 1.5 IKR Lawang,IKR Lawang,,"15,000","224,320",,
,,"Bi BBM N 4395 LN km 112770  tgl 03/01/2026 ltr 2.7 maintance arjosari, bumiayu,comboran      ",Transportasi,,"27,000","197,320",,
,,Bi untuk pembelian Konsumsi Kantor tgl 03/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","67,320",,
5-Jan-26,4,Dana Masuk Operasional,dana masuk,2000000,,"2,067,320",,
,,Bi pembayaran iuran sampah kantor tgl  04/01/2026                                        ,sampah ktr,,"85,000","1,982,320",,
,,"Bi BBM N 6460 ADR km 807527 tgl 31/12/2025 ltr 1.5 maintance srigading, bedali      ",Transportasi,,15000,"1,967,320",,
,,"Bi BBM N 2668 km 610409 tgl 03/01/2026 ltr 1.5 maintance gajahan,songsong    ",Transportasi,,15000,"1,952,320",,
,,"Bi BBM N 2821 TEO km 365525 tgl 05/01/2026 ltr 1.5 srigading, martopuro,singosari    ",Transportasi,,15000,"1,937,320",,
,,Bi BBM N 2113 EFD km 464519 tgl 05/01/2026 ltr 1.0 maintance purwodadi,Transportasi,,10000,"1,927,320",,
,,Bi BBM N4559 EGM km 398399 tgl 05/01/2026 ltr 1.5 maintance sentul,Transportasi,,15000,"1,912,320",,
,,Bi BBM N 1195 FV tgl 05/01/2026 ltr 10.0 ,Transportasi,,100000,"1,812,320",,
,,Bi pembelian material tgl 05/01/2026- 1pcs gergaji @ 40.000 ,Material,,40000,"1,772,320",,
,,Bi pembelian material tgl 05/01/2026- 1pcs paku @ 10.000,Material,,10000,"1,762,320",,
,,Bi pembelian material tgl 05/01/2026- 1pcs sekrop @ 20.000,Material,,20000,"1,742,320",,
,,Bi pembelian material tgl 05/01/2026- 1pcs hit spry.p/blosm  @ 35.900,Material,,35900,"1,706,420",,
,,Bi pembelian material tgl 05/01/2026- 1pcs idm ktg plastik  @ 300,Material,,300,"1,706,120",,
,,diskon pembelian,diskon,,-2000,"1,708,120",,
,,Bi untuk pembayaran rokok tukang  tgl 05/01/2026,tukang,,23500,"1,684,620",,
,,Bi untuk pembelian Konsumsi Kantor tgl 05/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","1,554,620",1380000,"305,380"
,,Bi pembelian konsumsi untuk ke ST.Lawang tgl 05/01/2026 ,IKR Lawang,,52900,"1,501,720","1,074,620",
