,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Juni 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,Saldo Awal,,"1,596,761",,
02-juni,1,Bi BBM N 2110 EFD km 3627326  tgl 01/06/2026 ltr 1.5 ,transportasi,,15000,"1,581,761"
,,Bi BBM N 2110 EFD km 36326  tgl 01/06/2026 ltr 1.5 maintance arjosari,transportasi,,15000,"1,566,761"
,,Bi BBM N 3457 ABF km 559416 tgl 01/06/2026 ltr 2.0 mangliawan,transportasi,,20000,"1,546,761"
,,Bi BBM N2113 EFD km 432163 tgl 01/06/2026 ltr 1.5 mangliawan,transportasi,,15000,"1,531,761"
,,"Bi BBM N 6840 GE km 8972421 tgl 02/05/2026 ltr 2.0 maintance arjosari,kunci,gondang",transportasi,,20000,"1,511,761"
,,Bi BBM P2616 UC  tgl 02/06/2026 ltr 2.0 lawang,transportasi,,20000,"1,491,761"
,,Bi BBM N 2113 EFD tgl 02/06/2026 ltr 1.0 Singosari,transportasi,,"10,000","1,481,761"
,,Bi parkir P 2616 UC Bank Mandiri Lawang tgl 02/06/2026,transportasi,,"2,000","1,479,761"
,,Bi parkir P 2616 UC Pelangi lawang tgl 02/06/2026,transportasi,,2000,"1,477,761"
,,Bi untuk transportasi teknisi unsur mangliawan tgl 01/06/2026,transportasi,,50000,"1,427,761"
,,Bi untuk transportasi teknisi gadang tgl 01/06/2026,transportasi,,50000,"1,377,761"
,,Bi pembelian material tgl  01/06/2026- 1pcs HTB Eterlink/Netlink 3100 @ 90.000,Material,,90000,"1,287,761"
,,Bi pembelian material tgl  02/06/2026- 2pcs sticker vynil A3@ 8.500,Material,,17000,"1,270,761"
,,Bi pembelian material tgl  02/06/2026- 1pack klem 6m @ 18.000,Material,,18000,"1,252,761"
,,Bi untuk pembelian rumah tangga tgl 02/05/2026- 1pcs tropical myk@ 24.000,Rumah Tangga,,24000,"1,228,761"
,,Bi untuk pembelian rumah tangga tgl 02/05/2026- 1pcs ekonomi @ 9.900,Rumah Tangga,,9900,"1,218,861"
,,Bi untuk pembelian rumah tangga tgl 02/05/2026- 1pcs kp branding@ 200,Rumah Tangga,,200,"1,218,661"
,,diskon pembelian,diskon,3400,,"1,222,061"
,,Bi untuk konsumsi kantor tgl 01/06/2026,konsumsi kantor,,150000,"1,072,061"
,,Bi pembelian ATK tgl 02/06/2026- 12pcs map L big @ 1.416,ATK,,16992,"1,055,069"
,,Bi pembelian ATK tgl 02/06/2026- 12pcs benefit bp @ 1.250,ATK,,15000,"1,040,069"
,,Bi pembelian ATK tgl 02/06/2026- 12pcs binder clipp @ 417,ATK,,5004,"1,035,065"
,,Bi pembelian ATK tgl 02/06/2026- 2 rim kertas hvsA4  @ 36.800,ATK,,73600,"961,465"
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 02/06/2026,Listrik Kantor,,205000,"756,465"
03-juni,2,Dana Masuk Operasional,dana masuk,2000000,,"2,756,465"
,,Bi untuk transportasi team unsur mangliawan tgl 01/06/2026,transportasi,,40000,"2,716,465"
,,Bi untuk transportasi pak bara tgl 03/06/2026,transportasi,,20000,"2,696,465"
,,Bi BBM N 2113 EFD km 647683 tgl 03/06/2026 ltr 2.0 psb mangliawan ,transportasi,,20000,"2,676,465"
,,Bi BBM N 2110 EFD km 461699 tgl 03/06/2026 ltr 1.5 maintace mangliawan ,transportasi,,15000,"2,661,465"
,,Bi BBM N 2114 EFD km 419038 tgl 03/06/2026 ltr 1.6 maintace gadang,transportasi,,20000,"2,641,465"
,,"Bi BBM M 2034 BQ tgl 03/06/2026 ltr 1.5 maintace purwosari,kertosari ",transportasi,,15000,"2,626,465"
,,"Bi BBM DK 6912 AWW km 454011 tgl 03/06/2026 ltr 2.0 randuagung,srigading,bedali",transportasi,,20000,"2,606,465"
,,Bi untuk perawatan printer kantor service  tgl 03/06/2026,perawatan aset kantor,,330000,"2,276,465"
,,Bi untuk pengembalian gaji potongan telat dafa tgl 03/06/2026,lain-lain,,25000,"2,251,465"
,,Bi untuk konsumsi kantor tgl 03/06/2026,konsumsi kantor,,100000,"2,151,465"
,,Bi untuk pembayaran fee CS. feby tgl 03/06/2026,gaji,,250000,"1,901,465"
04-juni,3,Bi BBM N 2109 EFD km 246156 tgl 04/06/2026 ltr 2.0 maintace mangliawan ,transportasi,,20000,"1,881,465"
,,Bi BBM N 4235 FM tgl 04/06/2026 ltr 1.5 singosari,transportasi,,15000,"1,866,465"
,,Bi BBM N 2114 EFD km 419478 tgl 04/06/2026 ltr 1.0 maintace bedali,transportasi,,10000,"1,856,465"
,,"Bi BBM N 6840 GE  km 8876223 tgl 04/06/2026 ltr 3.5 maintace bedali,srigading,kunci,rest area,arjosari",transportasi,,35000,"1,821,465"
,,Bi untuk pembelian rumah tangga tgl 04/05/2026- 2pcs idm f/t 2ply @ 24.500,Rumah Tangga,,49000,"1,772,465"
,,Bi untuk pembelian rumah tangga tgl 04/05/2026- 1pcs gmp gula @ 17.500,Rumah Tangga,,17500,"1,754,965"
,,Bi untuk pembelian rumah tangga tgl 04/05/2026- 2pcs lwk kopi @ 10.500,Rumah Tangga,,21000,"1,733,965"
,,Bi untuk pembelian rumah tangga tgl 04/05/2026- 1pcs top coff gl aren@ 13.500,Rumah Tangga,,13500,"1,720,465"
,,Bi untuk pembelian rumah tangga tgl 04/05/2026- 1pcs neo/c crml.mc@ 10.800,Rumah Tangga,,10800,"1,709,665"
,,Bi untuk pembelian rumah tangga tgl 04/05/2026- 1pcs neo/c mchcno@ 10.900,Rumah Tangga,,10900,"1,698,765"
,,Bi untuk pembelian rumah tangga tgl 04/05/2026- 1pcs idm ktg pllstk bsr@ 500,Rumah Tangga,,500,"1,698,265"
,,Bi untuk pembelian rumah tangga tgl 04/05/2026- 1pcs idm ktg plstk sdg@ 300,Rumah Tangga,,300,"1,697,965"
,,diskon pembelian,diskon,4000,,"1,701,965"
,,Bi untuk konsumsi kantor tgl 04/06/2026,konsumsi kantor,,110000,"1,591,965"
,,Bi untuk konsumsi team rafli gadang  2 hari tgl 04/06/2026,sangu,,100000,"1,491,965"
,,Bi pembelian ATK tgl 04/06/2026- 20pcs sticker vynil @ 8.500,ATK,,172000,"1,319,965"
,,Bi untuk operasional rapat pak bara dengan PUPR tgl 04/06/2026,perjalanan bisnis,,50000,"1,269,965"
,,Bi untuk amplop pak rw dan kasun setran tgl 04/06/2026,amplop,,200000,"1,069,965"
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 04/06/2026,Listrik Kantor,,203500,"866,465"
05-juni,4,Bi untuk konsumsi kantor tgl 05/06/2026,konsumsi kantor,,"100,000","766,465"
,,Bi untuk konsumsi maintance srigading tgl 05/06/2026,konsumsi,,"10,000","756,465"
,,Bi BBM N 3346 ABF km 720471 tgl 28/06/2026 ltr 2.0 maintance gadang,transportasi,,20000,"736,465"
,,Bi BBM N 3346 ABF km 75435 tgl  30/06/2026 ltr 2.0 maintance gadang,transportasi,,20000,"716,465"
,,Bi BBM N 4235 FM tgl 05/06/2026 ltr 1.5 singosari,transportasi,,15000,"701,465"
,,"Bi BBM DK 6912 AWW km 454011 tgl 05/06/2026 ltr 2.0 maintance srigading,bedali",transportasi,,20000,"681,465"
,,Bi BBM L 1793 ACP  tgl 05/06/2026 ltr 20.0 ,transportasi,,200000,"481,465"
,,Bi untuk operasional konsumsi rapat PGS surabaya tgl 05/06/2026,perjalanan bisnis,,113000,"368,465"
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 05/06/2026,Listrik Server,,103000,"265,465"
,,Bi pembelian material tgl  05/06/2026- 1pcs spliter @ 40.000,Material,,40000,"225,465"
,,Bi pembelian material tgl  05/06/2026- 2pcs 2f4e pcb @ 70.000,Material,,140000,"85,465"
,,Bi pembelian material tgl  05/06/2026- 1pcs eterlink a-b @ 95.000,Material,,95000,"-9,535"
06-juni,5,Bi pembelian material tgl  06/06/2026- 4pcs klem no.7 @ 3.500,Material,,"14,000","-23,535"
,,Bi BBM N 3346 ABF km 725212 tgl 04/06/2026 ltr 2.0 maintance gadang,transportasi,,"20,000","-43,535"
,,Bi BBM N 3346 ABF km 723575 tgl 06/06/2026 ltr 2.0 maintance gadang,transportasi,,"20,000","-63,535"
,,Bi BBM N 2114 EFD km 420074 tgl 06/06/2026 ltr 1.5 maintace lawang,transportasi,,"15,000","-78,535"
,,Bi BBM N 2464 EEA  km 22739 tgl 06/06/2026 ltr 2.5 maintace gadang,transportasi,,"25,000","-103,535"
,,Bi BBM N 2110 EFD km 468689 tgl 06/06/2026 ltr 2.0 maintace gadang,transportasi,,"20,000","-123,535"
,,Bi BBM L 1793 ACP  tgl 06/06/2026 ltr 10.0 ,transportasi,,"100,000","-223,535"
,,Bi untuk konsumsi  BB ODP  teamyabes dan dafa tgl 06/06/2026,sangu,,100000,"-323,535"
,,Bi untuk pengembalian dana bu dida tgl 06/06/2026,lain-lain,,"98,000","-421,535"
,,Bi untuk konsumsi kantor tgl 06/06/2026,konsumsi kantor,,"150,000","-571,535"
08-juni,6,dana masuk operasional,dana masuk,2000000,,"1,428,465"
,,Bi BBM N 2113 EFD km 649674 tgl 07/06/2026 ltr 1.6 maintance  mangliawan                                                                    ,transportasi,,"20,000","1,408,465"
,,Bi BBM N 2110 EFD km 463371 tgl 08/06/2026 ltr 1.0 maintace bedali,transportasi,,"10,000","1,398,465"
,,"Bi BBM N 2114 EFD km 420071 tgl 08/06/2026 ltr 2.5 maintace temenggungan,arjosari",transportasi,,"25,000","1,373,465"
,,Bi untuk perawatan  kendaraan service N 2114 EFD tgl 08/06/2026,perawatan kendaraan ,,"50,000","1,323,465"
,,Bi untuk pembayaran ongkir kirim kabel tgl 07/06/2026,ongkir,,"190,500","1,132,965"
,,Bi untuk sangu pembangunan tim rafli 2 hari tgl 08/06/2026,sangu,,"100,000","1,032,965"
,,"Bi untuk pembayaran fee ikr,maintance tim unsur tgl 08/06/2026",fee,,"1,000,000","32,965"
09-juni,7,Bi BBM N 2668 GM km 4099501 tgl 31/05/2026 ltr 2.0 maintace gadang,transportasi,,"20,000","12,965"
,,Bi BBM N 2109 EFD km 678696 tgl 05/06/2026 ltr 2.03 maintace mangliawan,transportasi,,"25,000","-12,035"
,,Bi BBM N 4235 FM tgl 07/06/2026 ltr 1.5 singosari,transportasi,,"15,000","-27,035"
,,Bi BBM N 2668 GM km 4010680 tgl 08/06/2026 ltr 2.5 maintace gadang,transportasi,,"25,000","-52,035"
,,Bi BBM N 2668 GM km 5014099tgl 09/06/2026 ltr 2.0 ,transportasi,,"20,000","-72,035"
,,Bi BBM N 2113 EFD tgl 09/06/2026 ltr 2.0,transportasi,,"20,000","-92,035"
,,Bi BBM N 4235 FM tgl 09/06/2026 ltr 1.5 singosari,transportasi,,"15,000","-107,035"
,,Bi BBM L 1793 ACP  tgl 09/06/2026 ltr 10.0 ,transportasi,,"100,000","-207,035"
,,Bi BBM N 2109 EFD km 627684 tgl 09/06/2026 ltr 1.2 maintace mangliawan,transportasi,,"15,000","-222,035"
,,"Bi BBM N 6840 GE km 6628621 tgl 09/06/2026 ltr 2.5 maintance srigading, setran,arjosari",transportasi,,"25,000","-247,035"
,,Bi untuk pembelian rumah tangga tgl 09/05/2026- 1pcs kresek jumbo @ 43.000,transportasi,,"43,000","-290,035"
