,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,
Periode 01-31 Maret 2026,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,Kategori, Penerimaan , Pengeluaran ,Saldo,,,Kategori,SUM of  Pengeluaran ,SUM of  Penerimaan 
,,Saldo Awal,,"683,705",,,,,,0,"2,183,705"
02-maret,1,Dana Masuk Operasional,dana masuk,"2,527,000",,"3,210,705",,,ATK,"171,700",0
02-maret,1,Bi untuk perawatan  kendaraan set fanbel ori N 2113 EFD tgl 02/03/2026,perawatan kendaraan ,,"200,000","3,010,705",,,Cicilan Motor,3982000,0
02-maret,1,Bi BBM N 1124 IC tgl 01/03/2026 ltr 10.0 mangliawan                                    ,perjalanan bisnis,,"100,000","2,910,705",,,dana masuk,0,"28,249,000"
02-maret,1,Bi BBM N 1124 IC tgl 02/03/2026 ltr 20.0 kortes                               ,perjalanan bisnis,,"200,000","2,710,705",,,diskon,"-47,200",0
02-maret,1,Bi BBM DK 6912 AAW km 455023 tgl 02/03/2026 ltr 2.0 mangliawan                                    ,transportasi,,"20,000","2,690,705",,,fee,1650000,0
02-maret,1,"Bi BBM N 2110 EFD km 414921 tgl 02/03/2026 ltr 1.0  pembangunan ODP,ODC bedali                              ",transportasi,,"10,000","2,680,705",,,gaji,"200,000",0
02-maret,1,Bi BBM N 4559 EGM km 424399 tgl 02/03/2026 ltr 1.5 maintance temenggungan,transportasi,,"15,000","2,665,705",,,konsumsi,"222,800",0
02-maret,1,Bi BBM N 2109 EFD km 455909 tgl 02/03/2026 ltr 2.0 maintance tutur,transportasi,,"20,000","2,645,705",,,konsumsi kantor,150000,0
02-maret,1,Bi BBM N 2668 GM km 510489 tgl 02/03/2026 ltr 2.0 maintance comboran,transportasi,,"20,000","2,625,705",,,lain-lain,"3,417,700",0
02-maret,1,Bi BBM N 4559 EGM km 422099 tgl 27/02/2026 ltr 1.5 maintance kalianyar,transportasi,,"15,000","2,610,705",,,Listrik Kantor,"614,000",0
02-maret,1,Bi BBM N 3346 ABF km 684652 tgl 27/02/2026 ltr 1.0 maintance lawang,transportasi,,"10,000","2,600,705",,,Listrik Polaman,"54,000",0
02-maret,1,Bi untuk pembelian rumah tangga tgl 02/03/2026- 10 pack DS tas wafer@ 8.000,Rumah Tangga,,"80,000","2,520,705",,,Listrik Server,"510,500",0
02-maret,1,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 02/03/2026              ,Listrik Kantor,,"203,500","2,317,205",,,Listrik Server Sentul,"103,500",0
02-maret,1,Bi untuk pembelian listrik server sentul idpel513010410557 tgl 02/03/2026,Listrik Server Sentul,,"103,500","2,213,705",,,Material,"8,217,800",0
02-maret,1,Bi pembelian material tgl 02/03/2026- 1pcs 2f4e+adaptor @ 75.000,Material,,"75,000","2,138,705",,,ongkir,"91,850",0
02-maret,1,Bi pembelian material tgl 02/03/2026- 5pcs modem f663nv9+ adaptor @ 125.000,Material,,"625,000","1,513,705",,,Perawatan Kendaraan,30000,0
02-maret,1,Bi pembelian material tgl 02/03/2026- 1pcs modem xpon+ adaptor @ 130.000,Material,,"130,000","1,383,705",,,perawatan kendaraan ,"610,000",0
02-maret,1,diskon pembelian,diskon,,"-5,000","1,388,705",,,perjalanan bisnis,"610,000",0
03-maret,2,Bi BBM N 2110 EFD km 415278 tgl 02/03/2026 ltr 1.0  maintance lawang                         ,transportasi,,"15,000","1,373,705",,,pulsa,"133,880",0
03-maret,2,Bi BBM N 2113 EFD km 49583 tgl 03/03/2026 ltr 1.5  maintance karang kunci                  ,transportasi,,"15,000","1,358,705",,,Rumah Tangga,"684,600",0
03-maret,2,Bi BBM M 2369 AI km 49985 tgl 03/03/2026 ltr 2.0  sentul                ,transportasi,,"10,000","1,348,705",,,sampah,"25,000",0
03-maret,2,Bi BBM N 3222 KK km 193259 tgl 03/03/2026 ltr 1.5 maintance lawang                ,transportasi,,"15,000","1,333,705",,,sewa,1500000,0
03-maret,2,Bi BBM N 2418 YBI km0 tgl 03/03/2026 ltr 1.0  maintance bedali indah                  ,transportasi,,"10,000","1,323,705",,,transportasi,"2,830,990",0
03-maret,2,Bi BBM N 2109 EFD km 455909 tgl 03/03/2026 ltr 1.0  maintance comboran           ,transportasi,,"10,000","1,313,705",,,Grand Total,"25,763,120","30,432,705"
03-maret,2,Bi untuk operasional pak bara ke kepanjen tgl 03/03/2026,perjalanan bisnis,,"200,000","1,113,705",,,,,
03-maret,2,Bi untuk pembelian pulsa pak bara tgl 03/03/2026,pulsa,,"29,880","1,083,825",,,,,
03-maret,2,Bi untuk pembayaran fee CS. feby tgl 03/03/2026,gaji,,"200,000","883,825",,,,,
