Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,
Periode 01-31 Mei 2026,,,,,,,,,,
Tanggal,No,Keterangan,Kategori, Penerimaan , Pengeluaran ,Saldo,,Kategori,SUM of  Penerimaan ,SUM of  Pengeluaran 
02-mei,1,Saldo Awal,saldo awal,,,,,amplop,Rp0,"Rp1,200,000"
02-mei,1,Dana Masuk Operasional,dana masuk,"1,570,630",,"1,570,630",,ATK,Rp0,"Rp1,315,000"
02-mei,1,Bi untuk konsumsi kantor tgl  01/05/2026,konsumsi kantor,,110000,"1,460,630",,Cicilan Motor,Rp0,"Rp3,955,000"
02-mei,1,Bi untuk konsumsi  BB ODP  team dafa tgl 02/05/2026,sangu,,50000,"1,410,630",,dana masuk,"Rp32,070,630",Rp0
02-mei,1,Bi untuk konsumsi  BB ODP  team rafli tgl 02/05/2026,sangu,,50000,"1,360,630",,dana masuk ,"Rp3,277,000",Rp0
02-mei,1,Bi untuk konsumsi  BB ODP  team tyo tgl 02/05/2026,sangu,,50000,"1,310,630",,diskon,Rp0,"-Rp70,500"
02-mei,1,Bi BBM N 2109 EFD km 493863 tgl 01/05/2026 ltr 1.5 maintance bumiayu,transportasi,,15000,"1,295,630",,etol,Rp0,"Rp55,000"
02-mei,1,"Bi BBM N 6840 GE km 7265231 tgl 02/05/2026 ltr 1.5 ODP duta ,garuda      ",transportasi,,15000,"1,280,630",,fee,Rp0,"Rp1,350,000"
02-mei,1,Bi BBM N 3346 ABF km 712108 tgl 02/05/2026 ltr 2.0 ODP randuagung   ,transportasi,,20000,"1,260,630",,gaji,Rp0,"Rp250,000"
02-mei,1,Bi BBM P 2616 UC  km 8316 tgl 02/05/2026 ltr 2.0 csr sekolahan blimbing,transportasi,,20000,"1,240,630",,konsumsi,Rp0,"Rp826,100"
02-mei,1,Bi BBM N 2110 EFD km 689721 tgl 02/05/2026 ltr 1.5,transportasi,,15000,"1,225,630",,konsumsi kantor,Rp0,"Rp2,169,000"
02-mei,1,Bi BBM N 2668 GM  km 501988 tgl 02/05/2026 ltr 2.0 ODP  duta,transportasi,,20000,"1,205,630",,lain-lain,Rp0,"Rp1,928,780"
02-mei,1,Bi BBM M 5687 CP km 493893 tgl 02/05/2026 ltr 2.0 ,transportasi,,20000,"1,185,630",,Listrik Kantor,Rp0,"Rp1,759,500"
02-mei,1,Bi parkir N 2113 EFD pelangi lawang tgl 02/05/2026,transportasi,,2000,"1,183,630",,Listrik Server,Rp0,"Rp820,000"
02-mei,1,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 02/05/2026,Listrik Kantor,,204000,"979,630",,Listrik server lawang,Rp0,"Rp200,000"
02-mei,1,Bi untuk pembelian rumah tangga tgl 02/05/2026- 6pcs oxy @ 12.000,Rumah Tangga,,72000,"907,630",,Material,Rp0,"Rp4,489,488"
02-mei,1,Bi pembelian material tgl  02/05/2026- 1pcs rj45  @ 40.000,Material,,40000,"867,630",,ongkir,Rp0,"Rp286,900"
02-mei,1,Bi pembelian material tgl  02/05/2026- 1pcs fast connector@ 35.000,Material,,35000,"832,630",,perawatan kendaraan ,Rp0,"Rp659,500"
02-mei,1,Bi pembelian material tgl  02/05/2026- 1pcs 2f4e pcb @ 68.000,Material,,68000,"764,630",,perjalanan bisnis,Rp0,"Rp534,200"
02-mei,1,Bi pembelian ATK tgl 02/05/2026- 1pcs kwitansi ppl mini @ 2.500,ATK,,2500,"762,130",,pulsa,Rp0,"Rp85,000"
02-mei,1,Bi pembelian ATK tgl 02/05/2026- 3pcs bkk kurnia 1/2f @ 9.500,ATK,,28500,"733,630",,qurban,Rp0,"Rp1,100,000"
02-mei,1,Bi pembelian ATK tgl 02/05/2026- 1pcs tas spoundbond @ 2.000,ATK,,2000,"731,630",,Rumah Tangga,Rp0,"Rp2,336,401"
04-Mei,2,dana Masuk Operasional,dana masuk,2500000,,"3,231,630",,saldo awal,Rp0,Rp0
04-Mei,2,Bi pembelian material tgl  03/05/2026- 1pcs hit lily @ 19.200,Material,,19200,"3,212,430",,sangu,Rp0,"Rp920,000"
04-Mei,2,Bi pembelian material tgl  03/05/2026- 1pcs kp branding @ 200,Material,,200,"3,212,230",,transportasi,Rp0,"Rp3,996,000"
04-Mei,2,diskon pembelian ,diskon,,-1700,"3,213,930",,Grand Total,"35,347,630","30,165,369"
04-Mei,2,Bi pembelian material tgl  03/05/2026- 1pcs 2c zimmlink @ 815.000,Material,,815000,"2,398,930",,,,
04-Mei,2,diskon pembelian ,diskon,,-10000,"2,408,930",,,,
04-Mei,2,Bi pembelian material tgl  04/05/2026- 1pcs HTB eterlink a/b @ 90.000,Material,,90000,"2,318,930",,,,
04-Mei,2,Bi pembelian material tgl  04/05/2026- 1pcs joint closure @ 75.000,Material,,75000,"2,243,930",,,,
04-Mei,2,Bi untuk pembayaran fee CS. feby tgl 04/05/2026,gaji,,250000,"1,993,930",,,,
04-Mei,2,Bi BBM N 3346 ABF km 713781 tgl 03/05/2026 ltr 2.0 maintance martopuro,transportasi,,20000,"1,973,930",,,,
04-Mei,2,Bi BBM N 2113 EFD km 578800 tgl 04/05/2026 ltr 2.5 maintance tutur,transportasi,,25000,"1,948,930",,,,
04-Mei,2,Bi BBM N 2110 EFD km 444264 tgl 04/05/2026 ltr 2.0 maintance purwodadi,transportasi,,20000,"1,928,930",,,,
04-Mei,2,Bi BBM N 2109 EFD km 495133 tgl 04/05/2026 ltr 1.0 lawang,transportasi,,10000,"1,918,930",,,,
04-Mei,2,Bi BBM N 2114 EFD km 42289 tgl 04/05/2026 ltr 1.5 lawang,transportasi,,15000,"1,903,930",,,,
04-Mei,2,Bi BBM N 2760 ABO km 54177 tgl 04/05/2026 ltr 2.0 ,transportasi,,20000,"1,883,930",,,,
04-Mei,2,Bi BBM N 2109 EFD km 491533 tgl 04/05/2026 ltr 1.5 maintance duta,transportasi,,15000,"1,868,930",,,,
04-Mei,2,Bi parkir P 2616 UC Bank Mandiri Singosari tgl 29/05/2026,transportasi,,"2,000","1,866,930",,,,
04-Mei,2,Bi BBM L 1793 ACP  tgl 04/05/2026 ltr 10.0 ,transportasi,,100000,"1,766,930",,,,
04-Mei,2,Bi untuk konsumsi  BB ODP  team ridwan tgl 04/05/2026,sangu,,50000,"1,716,930",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 1pcs  gulaku gula @ 17.500,Rumah Tangga,,"17,500","1,699,430",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 1pcs  top coff gl aren @ 13.500,Rumah Tangga,,"13,500","1,685,930",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 2pcs lwk kopi murni @ 10.500,Rumah Tangga,,"21,000","1,664,930",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 1pcs  spr pell sakura @ 13.100,Rumah Tangga,,"13,100","1,651,830",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 1pcs  snlight lime  @ 15.900,Rumah Tangga,,15900,"1,635,930",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 2pcs  neo /cf mchno @ 10.900,Rumah Tangga,,"21,800","1,614,130",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 1pcs  neo /c crml mc @ 10.800,Rumah Tangga,,"10,800","1,603,330",,,,
05-Mei,3,diskon pembelian ,diskon,,"-9,500","1,612,830",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 2pcs  plastik mbg @ 5.000,Rumah Tangga,,"10,000","1,602,830",,,,
05-Mei,3,Bi parkir N 2110 EFD Bank Mandiri Singosari tgl 05/05/2026,transportasi,,"2,000","1,600,830",,,,
05-Mei,3,Bi BBM L 1793 ACP  tgl 05/05/2026 ltr 20.0 ,transportasi,,"200,000","1,400,830",,,,
05-Mei,3,Bi BBM P 2616 UC km 8316  tgl 05/05/2026 ltr 2.5 ,transportasi,,"25,000","1,375,830",,,,
05-Mei,3,Bi BBM M 5687 CP  km 494534  tgl 05/05/2026 ltr 1.0,transportasi,,"10,000","1,365,830",,,,
05-Mei,3,Bi BBM N 2110 EFD  km 6747 tgl 05/05/2026 ltr 2.5 maintance mangliawan,transportasi,,"25,000","1,340,830",,,,
05-Mei,3,Bi BBM N 2109 EFD  km 496284 tgl 05/05/2026 ltr 2.5 maintance mangliawan,transportasi,,"25,000","1,315,830",,,,
05-Mei,3,Bi BBM N 2418 km 24197 tgl 05/05/2026 ltr 2.0 maintance mangliawan,transportasi,,"20,000","1,295,830",,,,
05-Mei,3,Bi BBM N 2668 GM km 501499 tgl 05/05/2026 ltr 2.0 maintance martopuro,transportasi,,"20,000","1,275,830",,,,
05-Mei,3,Bi BBM N 2760 ABO km 64299 tgl 05/05/2026 ltr 2.0 maintance martopuro,transportasi,,"20,000","1,255,830",,,,
05-Mei,3,"Bi BBM N 6840 GE km 768236 tgl 05/05/2026 ltr 1.5 odp suko, maintance srigading",transportasi,,"15,000","1,240,830",,,,
